Database entry; RomName; Rom; Vid; Thm; Whl; Art1; Art2; Art3; Art4; Snd; crc; Manufacturer; Year; Genre
123 Sesame Street - Elmo's A-to-Zoo Adventure - The Videogame; 123 Sesame Street - Elmo's A-to-Zoo Adventure - The Videogame (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
American Girl - Julie Finds a Way; American Girl - Julie Finds a Way (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
American Girl - Kit Mystery Challenge!; American Girl - Kit Mystery Challenge! (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Backyard Baseball '10; Backyard Baseball '10 (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Mario vs. Donkey Kong 2 - March of the Minis; Mario vs. Donkey Kong 2 - March of the Minis (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Mega Man Zero Collection; Mega Man Zero Collection (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Mega Man ZX; Mega Man ZX (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Metal Slug 7; Metal Slug 7 (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Mega Man ZX - Advent; Mega Man ZX - Advent (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Call of Duty - Modern Warfare 3 - Defiance; Call of Duty - Modern Warfare 3 - Defiance (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Call of Duty - World at War; Call of Duty - World at War (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Dora the Explorer - Dora Saves the Snow Princess; Dora the Explorer - Dora Saves the Snow Princess (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Contra 4; Contra 4 (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Dragon Ball Z - Harukanaru Densetsu; Dragon Ball Z - Harukanaru Densetsu (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Dragon Ball Z - Supersonic Warriors 2; Dragon Ball Z - Supersonic Warriors 2 (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Nicktoons MLB; Nicktoons MLB (USA); YES; NO; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Etrian Odyssey II - Heroes of Lagaard; Etrian Odyssey II - Heroes of Lagaard (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Final Fantasy Fables - Chocobo Tales; Final Fantasy Fables - Chocobo Tales (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Final Fantasy III; Final Fantasy III (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
George of the Jungle and the Search for the Secret; George of the Jungle and the Search for the Secret (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Finding Nemo - Escape to the Big Blue; Finding Nemo - Escape to the Big Blue (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
GoldenEye - Rogue Agent; GoldenEye - Rogue Agent (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
GoldenEye 007; GoldenEye 007 (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
America's Test Kitchen - Let's Get Cooking; America's Test Kitchen - Let's Get Cooking (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Hi Hi Puffy AmiYumi - The Genie & the Amp; Hi Hi Puffy AmiYumi - The Genie & the Amp (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Amazing Adventures - The Forgotten Ruins; Amazing Adventures - The Forgotten Ruins (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Rapala Pro Bass Fishing; Rapala Pro Bass Fishing (USA); YES; NO; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Bomberman; Bomberman (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Backyard Baseball '09; Backyard Baseball '09 (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Metroid Prime - Hunters; Metroid Prime - Hunters (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Metroid Prime Pinball; Metroid Prime Pinball (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Children of Mana; Children of Mana (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Castlevania - Dawn of Sorrow; Castlevania - Dawn of Sorrow (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Death Jr. and the Science Fair of Doom; Death Jr. and the Science Fair of Doom (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Monster Jam - Path of Destruction; Monster Jam - Path of Destruction (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Dragon Ball - Origins; Dragon Ball - Origins (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Disgaea DS; Disgaea DS (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Geometry Wars - Galaxies; Geometry Wars - Galaxies (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
Etrian Odyssey; Etrian Odyssey (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
LEGO Star Wars II - The Original Trilogy; LEGO Star Wars II - The Original Trilogy (USA); YES; YES; NO; YES; NO; NO; YES; NO; NO; ; ; ; 
